Threshold,Accuracy,Precision,Recall,F1-Score,True Negatives,False Positives,False Negatives,True Positives,Customers Flagged
0.1,0.6584888888888889,0.43466257668711655,0.9478260869565217,0.5960042060988433,2287,1843,78,1417,3260
0.15000000000000002,0.7080888888888889,0.47423764458464773,0.9050167224080268,0.6223551057957681,2630,1500,142,1353,2853
0.20000000000000004,0.7399111111111111,0.50625,0.8668896321070234,0.6392108508014797,2866,1264,199,1296,2560
0.25000000000000006,0.7642666666666666,0.5369479667686926,0.8214046822742475,0.6493918561607614,3071,1059,267,1228,2287
0.30000000000000004,0.7786666666666666,0.5599232981783318,0.7812709030100334,0.6523317509075677,3212,918,327,1168,2086
0.3500000000000001,0.7925333333333333,0.5883620689655172,0.7304347826086957,0.6517457475380484,3366,764,403,1092,1856
0.40000000000000013,0.7994666666666667,0.61114476075106,0.6749163879598662,0.6414494596312779,3488,642,486,1009,1651
0.45000000000000007,0.8072888888888888,0.6414315209910529,0.6234113712374582,0.6322930800542741,3609,521,563,932,1453
0.5000000000000001,0.8088888888888889,0.6693548387096774,0.5551839464882943,0.6069469835466179,3720,410,665,830,1240
0.5500000000000002,0.8067555555555556,0.6935483870967742,0.4889632107023411,0.5735582581404473,3807,323,764,731,1054
0.6000000000000002,0.8032,0.7219679633867276,0.42207357859531774,0.5327142254115661,3887,243,864,631,874
0.6500000000000001,0.7985777777777778,0.7527932960893855,0.3605351170568562,0.48756218905472637,3953,177,956,539,716
0.7000000000000002,0.7902222222222223,0.7837837837837838,0.2909698996655518,0.424390243902439,4010,120,1060,435,555
0.7500000000000002,0.7824,0.8312958435207825,0.22742474916387959,0.35714285714285715,4061,69,1155,340,409
0.8000000000000002,0.7672888888888889,0.8549618320610687,0.14983277591973243,0.2549800796812749,4092,38,1271,224,262
0.8500000000000002,0.7514666666666666,0.8540145985401459,0.0782608695652174,0.14338235294117646,4110,20,1378,117,137
0.9000000000000002,0.7386666666666667,0.9629629629629629,0.017391304347826087,0.03416557161629435,4129,1,1469,26,27
